L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG251,AFG1,Afghanistan,AFG20,Laghman,Daulat Shah,45.83477972426903,2.0,Member State,AFG,ND,2022
AFG252,AFG1,Afghanistan,AFG20,Laghman,Mehtarlam,292.7669982127136,2.0,Member State,AFG,ND,2022
AFG253,AFG1,Afghanistan,AFG20,Laghman,Qarghayi,170.12920753104584,2.0,Member State,AFG,ND,2022
AFG254,AFG1,Afghanistan,AFG21,Logar,Azra,33.09059896673821,2.0,Member State,AFG,ND,2022
AFG255,AFG1,Afghanistan,AFG21,Logar,Baraki Barak,134.82134513450475,2.0,Member State,AFG,ND,2022
AFG256,AFG1,Afghanistan,AFG21,Logar,Charkh,97.35133342301714,2.0,Member State,AFG,ND,2022
AFG257,AFG1,Afghanistan,AFG21,Logar,Kharwar,37.445808693658144,2.0,Member State,AFG,ND,2022
AFG258,AFG1,Afghanistan,AFG21,Logar,Khoshi,23.882007273398496,2.0,Member State,AFG,ND,2022
AFG259,AFG1,Afghanistan,AFG21,Logar,Mohammad Agha,125.40371237568901,2.0,Member State,AFG,ND,2022
AFG26,AFG1,Afghanistan,AFG1,Badakhshan,Yamgan,58.816874368864724,2.0,Member State,AFG,ND,2022
AFG260,AFG1,Afghanistan,AFG21,Logar,Pul-e- Alam,192.88402684289088,2.0,Member State,AFG,ND,2022
AFG261,AFG1,Afghanistan,AFG22,Nangarhar,Achin,207.6868364399122,2.0,Member State,AFG,ND,2022
AFG262,AFG1,Afghanistan,AFG22,Nangarhar,Bati Kot,80.23317100341151,2.0,Member State,AFG,ND,2022
AFG263,AFG1,Afghanistan,AFG22,Nangarhar,Behsud,420.7524544427898,2.0,Member State,AFG,ND,2022
AFG264,AFG1,Afghanistan,AFG22,Nangarhar,Chaparhar,237.51287381817315,2.0,Member State,AFG,ND,2022
AFG265,AFG1,Afghanistan,AFG22,Nangarhar,Dara-e-Nur,50.805062867073524,2.0,Member State,AFG,ND,2022
AFG266,AFG1,Afghanistan,AFG22,Nangarhar,Deh Bala,87.07832380019694,2.0,Member State,AFG,ND,2022
AFG267,AFG1,Afghanistan,AFG22,Nangarhar,Dur Baba,47.58766443070088,2.0,Member State,AFG,ND,2022
AFG268,AFG1,Afghanistan,AFG22,Nangarhar,Goshta,62.29339060996143,2.0,Member State,AFG,ND,2022
AFG269,AFG1,Afghanistan,AFG22,Nangarhar,Hesarak,59.526305747340984,2.0,Member State,AFG,ND,2022
AFG27,AFG1,Afghanistan,AFG1,Badakhshan,Yawan,62.904789480725825,2.0,Member State,AFG,ND,2022
AFG270,AFG1,Afghanistan,AFG22,Nangarhar,Jalalabad,89.78682447638849,2.0,Member State,AFG,ND,2022
AFG271,AFG1,Afghanistan,AFG22,Nangarhar,Kama,95.70723654400747,2.0,Member State,AFG,ND,2022
AFG272,AFG1,Afghanistan,AFG22,Nangarhar,Khowgiani,200.58141167468887,2.0,Member State,AFG,ND,2022
AFG273,AFG1,Afghanistan,AFG22,Nangarhar,Kot,90.54792633569589,2.0,Member State,AFG,ND,2022
AFG274,AFG1,Afghanistan,AFG22,Nangarhar,Kuz Kunar,103.37032266626515,2.0,Member State,AFG,ND,2022
AFG275,AFG1,Afghanistan,AFG22,Nangarhar,Lal Pur,69.60313422121001,2.0,Member State,AFG,ND,2022
AFG276,AFG1,Afghanistan,AFG22,Nangarhar,Muhmand Dara,132.32021486386066,2.0,Member State,AFG,ND,2022
AFG277,AFG1,Afghanistan,AFG22,Nangarhar,Nazian,41.09931932499797,2.0,Member State,AFG,ND,2022
AFG278,AFG1,Afghanistan,AFG22,Nangarhar,Pachier Agam,89.44243868589726,2.0,Member State,AFG,ND,2022
AFG279,AFG1,Afghanistan,AFG22,Nangarhar,Rodat,218.49482978277092,2.0,Member State,AFG,ND,2022
AFG28,AFG1,Afghanistan,AFG1,Badakhshan,Zebak,15.771770759849334,2.0,Member State,AFG,ND,2022
AFG280,AFG1,Afghanistan,AFG22,Nangarhar,Sherzad,96.23218784473748,2.0,Member State,AFG,ND,2022
AFG281,AFG1,Afghanistan,AFG22,Nangarhar,Shinwar,81.29391842129651,2.0,Member State,AFG,ND,2022
AFG282,AFG1,Afghanistan,AFG22,Nangarhar,Surkh Rod,388.8761951681346,2.0,Member State,AFG,ND,2022
AFG283,AFG1,Afghanistan,AFG23,Nimroz,Chahar Burjak,39.43722536238712,2.0,Member State,AFG,ND,2022
AFG284,AFG1,Afghanistan,AFG23,Nimroz,Chakhansur,28.914274020684683,2.0,Member State,AFG,ND,2022
AFG285,AFG1,Afghanistan,AFG23,Nimroz,Kang,205.40982626056865,2.0,Member State,AFG,ND,2022
AFG286,AFG1,Afghanistan,AFG23,Nimroz,Khash Rod,45.171766890078125,2.0,Member State,AFG,ND,2022
AFG287,AFG1,Afghanistan,AFG23,Nimroz,Zaranj,196.61477288870628,2.0,Member State,AFG,ND,2022
